localmappingnumber,kf_id,track_frame_id,timestamp_ms,kf_insertion_ms,map_points_total,new_map_points,queue_length,kf_culled,mean_reprojection_error,max_reprojection_error,optimization_time_ms,ba_executed,ba_aborted,ba_iters,tracking_lost,source,event_type,timestamp,rel_time_s,map_id,tracking_state,imu_initialized,ba_type,num_opt_kf,num_fixed_kf,num_mappoints,num_edges,visual_chi2_before,visual_chi2_after,imu_chi2_before,imu_chi2_after,imu_chi2_mean,imu_chi2_max,imu_rot_res_mean,imu_vel_res_mean,imu_pos_res_mean,gyro_rw_chi2,acc_rw_chi2,bias_delta_norm,velocity_delta_norm,pose_correction_trans_norm,pose_correction_rot_deg,init_scale,init_bg_norm,init_ba_norm,init_prior_g,init_prior_a,init_full_ba
33,32,536,1778812600940,3.345,3401,1178,0,1,0.7835,9.2021,29.401,1,0,3,0,LocalMapping,LOCAL_BA,1403715550.712143,26.800000,0,OK,no,LocalBundleAdjustment,19,9,2387,6530,0.563144,0.480319,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.009625,0.245493,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0
34,33,546,1778812601491,3.388,3468,1169,0,0,0.7966,9.1874,44.273,1,0,4,0,LocalMapping,LOCAL_BA,1403715551.212143,27.300000,0,OK,no,LocalBundleAdjustment,24,9,3075,8662,0.605085,0.534460,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.006594,0.145370,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0
35,34,557,1778812602062,2.971,3490,1114,0,0,0.7784,7.5037,32.549,1,0,5,0,LocalMapping,LOCAL_BA,1403715551.762143,27.850000,0,OK,no,LocalBundleAdjustment,14,20,2721,7598,0.690171,0.634599,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.010781,0.104678,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0
36,35,569,1778812602696,3.047,3490,1057,0,0,0.7792,7.4779,28.552,1,0,3,0,LocalMapping,LOCAL_BA,1403715552.362143,28.450000,0,OK,no,LocalBundleAdjustment,14,21,2463,6723,0.633278,0.571731,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.025669,0.228997,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0
37,36,579,1778812603214,2.747,3584,1071,0,0,0.7398,7.4811,16.779,1,0,3,0,LocalMapping,LOCAL_BA,1403715552.862143,28.950000,0,OK,no,LocalBundleAdjustment,8,19,1884,4574,0.605191,0.553764,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.011576,0.096913,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0
38,37,592,1778812603896,2.697,3769,1199,0,0,0.3989,4.5800,9.204,1,0,3,0,LocalMapping,LOCAL_BA,1403715553.512143,29.600000,0,OK,no,LocalBundleAdjustment,3,15,1349,2468,0.517560,0.388716,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.019982,0.342641,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0
39,38,605,1778812604576,2.653,3860,1143,0,0,0.2635,4.5861,5.626,1,0,3,0,LocalMapping,LOCAL_BA,1403715554.162143,30.250000,0,OK,no,LocalBundleAdjustment,2,4,1090,1464,0.270954,0.096608,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.008997,0.088469,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0
40,39,614,1778812605056,2.982,3771,892,0,0,0.4500,7.0309,7.790,1,0,8,0,LocalMapping,LOCAL_BA,1403715554.612143,30.700000,0,OK,no,LocalBundleAdjustment,3,4,1001,1563,0.378226,0.170510,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.023252,0.256409,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0
41,40,635,1778812606178,3.875,3714,680,0,0,0.6610,6.2582,9.684,1,0,3,0,LocalMapping,LOCAL_BA,1403715555.662143,31.750000,0,OK,no,LocalBundleAdjustment,5,11,1128,2309,0.497335,0.347052,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.021145,0.262443,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0
42,41,689,1778812609037,2.870,4011,965,0,0,0.6869,6.9427,12.134,1,0,9,0,LocalMapping,LOCAL_BA,1403715558.362143,34.450000,0,OK,no,LocalBundleAdjustment,5,4,1241,2402,0.560274,0.356884,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.018154,0.251788,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0
